"Suburb","Mains","Gas","Paraffin","Wood","Solar","Coal","Other","None"
"Rondebosch/Rosebank",85.4510852024119,14.5489147975881,0,0,0,0,0,0
"Ruyterwacht",79.8767809932743,20.1232190067257,0,0,0,0,0,0
"Salt River/Woodstock",73.1346108842469,22.6103179433562,0,0.664321004880432,0.664321004880432,0,2.92642916263608,0
"Schotschekloof",72.0930232558139,27.906976744186,0,0,0,0,0,0
"Scottsdene",91.6497637009069,6.41479172387849,0,0,0,0,1.93544457521459,0
"Silver Town",74.032505056051,22.7465482086557,3.22094673529335,0,0,0,0,0
"Simons Town",68.3527827647015,31.6472172352985,0,0,0,0,0,0
"Sir Lowry's Pass",88.3322777668695,9.3159070033166,2.20880474807539,0.0715052408692609,0,0,0,0.0715052408692609
"Site B: Nonqubela",79.1924407780578,17.2400407409101,2.17903806426489,0,0,0,0,1.38848041676719
"Site B: Victoria Mxenge",79.3219928750176,15.5992588518981,5.07874827308427,0,0,0,0,0
"Site C",90.9582873133172,9.04171268668284,0,0,0,0,0,0
"Somerset West",65.8362859659338,34.1637140340662,0,0,0,0,0,0
"Somerset West Non Urban",69.6835082040977,30.3164917959023,0,0,0,0,0,0
"Steenberg",61.6149853518512,24.6190563638085,0,0,0,0,10.3244687132553,3.44148957108509
"Strand",69.5547993507702,27.2898323237154,0,0,1.51824972915457,0,1.63711859635984,0
"Strandfontein",64.3242501226992,35.4058467894038,0,0,0,0,0.269903087897023,0
"Summer Greens",68.532744991541,31.467255008459,0,0,0,0,0,0
"Tafelsig",47.37318998263,49.7694363320546,0,1.42868684265767,0,0,0,1.42868684265767
"Tamboerskloof",70.7317073170732,29.2682926829268,0,0,0,0,0,0
"Thornton",97.3410320447127,2.65896795528726,0,0,0,0,0,0
"Tokai/Steenberg Estate",63.4944001461124,32.4283063968933,0,0,1.87978795058894,0,2.19750550640531,0
"Valhalla Park",92.1688224512894,7.83117754871059,0,0,0,0,0,0
"Vredehoek",70.6241157980384,26.7662796205667,0,0,0,0,2.60960458139489,0
"Vrygrond",71.3949116353723,26.8481547141874,0,1.75693365044025,0,0,0,0
"Wallacedene",86.6722538187968,8.0053252462263,3.88933961375397,0,0,0,1.4330813212229,0
"Wesbank",90.510709403607,9.489290596393,0,0,0,0,0,0
"Winnie Madikizela - Delft",0,85,12.5,0,2.5,0,0,0
"Witsand",63.519543627178,36.1870495671143,0,0,0,0,0,0.293406805707739
"Wolverivier",82.1428571428571,17.8571428571429,0,0,0,0,0,0
"Woodlands",64.2235041689009,35.7764958310991,0,0,0,0,0,0
"Wynberg",91.2116207770196,8.78837922298041,0,0,0,0,0,0
"Zeekoei Vlei",71.615091688554,28.384908311446,0,0,0,0,0,0
"Zonnebloem",90.2439024390244,9.75609756097561,0,0,0,0,0,0
